loan_id,age,salary,district,amount,payments,duration,rating
5222,51,8363,Usti nad Orlici,30000,2500,12,A
2257,32,12541,Praha,30000,500,60,D
5703,49,8757,Jihlava,30000,500,60,C
5047,41,8507,Benesov,30000,1250,24,A
1833,33,9538,Pardubice,30000,1250,24,C
5455,32,8814,Trebic,30000,2500,12,A
1949,57,8363,Usti nad Orlici,30000,625,48,C
1819,23,8867,Jablonec n. Nisou,30000,2500,12,A
3106,49,9675,Chomutov,30000,833,36,C
6171,20,8754,Pribram,30000,500,60,C
2293,49,8114,Pelhrimov,30000,1250,24,A
722,43,8173,Jesenik,30000,625,48,D
1413,60,10177,Karvina,30000,500,60,C
1139,46,9675,Chomutov,30000,833,36,A
5776,38,8994,Olomouc,30000,625,48,D
3357,59,8754,Pribram,30000,1250,24,C
4710,60,9104,Tabor,30000,2500,12,A
1214,47,8757,Jihlava,30000,500,60,C
3865,23,8867,Jablonec n. Nisou,30000,2500,12,A
5159,34,8965,Louny,30000,833,36,A
2479,25,8994,Olomouc,30000,625,48,C
3716,64,12541,Praha,30000,625,48,D
4543,55,8402,Prachatice,30000,1250,24,A
5987,60,10177,Karvina,30000,1250,24,A
5539,43,8173,Jesenik,30000,625,48,D
1777,59,8678,Novy Jicin,30000,1250,24,C
479,35,8390,Jicin,30000,833,36,A
657,47,8427,Jindrichuv Hradec,30000,833,36,C
3847,50,12541,Praha,30000,1250,24,A
5918,52,8114,Pelhrimov,30000,500,60,C
3262,54,10787,Plzen,30000,500,60,D
3369,63,8930,Tachov,30000,833,36,A
1701,37,10124,Praha - vychod,30000,1250,24,A
2259,36,8980,Beroun,30000,500,60,D
172,62,8402,Prachatice,30000,2500,12,C
6147,59,8427,Jindrichuv Hradec,30000,625,48,C
1280,41,9753,Kladno,30000,833,36,C
5158,35,10673,Ostrava - mesto,30000,1250,24,C
5372,41,9753,Kladno,30000,833,36,C
1346,59,8369,Nachod,30000,625,48,A
1931,39,12541,Praha,30000,833,36,C
5187,59,8678,Novy Jicin,30000,1250,24,C
555,62,8444,Kromeriz,30000,1250,24,C
2430,35,10673,Ostrava - mesto,30000,1250,24,C
5570,59,8240,Blansko,30000,2500,12,A
5783,65,10045,Ceske Budejovice,30000,1250,24,A
1519,36,12541,Praha,30000,1250,24,C
1459,58,9893,Frydek - Mistek,30000,500,60,C
2933,23,8187,Svitavy,30000,1250,24,C
2394,36,9045,Cesky Krumlov,30000,625,48,B
509,38,8369,Nachod,30000,500,60,C
4377,30,8388,Havlickuv Brod,30000,625,48,C
6010,62,8114,Pelhrimov,30000,833,36,C
1903,60,8772,Breclav,30000,500,60,C
3706,47,8598,Rakovnik,30000,1250,24,B
4164,33,8240,Blansko,30000,625,48,C
2446,31,8980,Beroun,30000,1250,24,C
5480,29,8388,Havlickuv Brod,30000,833,36,D
1114,27,8772,Breclav,30000,2500,12,C
101,43,9272,Ceska Lipa,30000,833,36,C
422,55,12541,Praha,30000,1250,24,A
377,24,12541,Praha,30000,2500,12,A
2769,45,8427,Jindrichuv Hradec,30000,2500,12,A
2128,31,8173,Jesenik,30000,625,48,D
1517,27,9624,Zlin,30000,625,48,C
2077,34,8598,Rakovnik,30000,500,60,C
3765,51,8772,Breclav,30000,833,36,B
920,33,8757,Jihlava,30000,500,60,C
2890,29,10787,Plzen,30000,1250,24,C
5687,61,8843,Rokycany,30000,500,60,D
2464,45,8208,Semily,30000,500,60,C
1683,60,8369,Sumperk,30000,625,48,C
440,59,9317,Teplice,30000,2500,12,C
5527,43,8843,Rokycany,30000,625,48,C
5024,39,12541,Praha,30000,2500,12,A
3228,63,10177,Karvina,30000,2500,12,A
4930,38,8363,Usti nad Orlici,30000,2500,12,A
719,48,9104,Tabor,30000,833,36,C
329,43,9045,Cesky Krumlov,30000,500,60,C
3218,30,8909,Vsetin,30000,500,60,C
5880,54,9753,Kladno,30000,2500,12,B
2066,26,9538,Pardubice,30000,500,60,C
3826,33,8909,Vsetin,30000,2500,12,C
1894,39,12541,Praha,30000,625,48,C
5647,45,8403,Znojmo,30000,625,48,C
4494,40,9832,Usti nad Labem,30000,1250,24,A
1124,42,12541,Praha,30000,1250,24,C
2568,43,10177,Karvina,30000,625,48,C
4935,43,8363,Usti nad Orlici,30000,500,60,C
3578,51,10673,Ostrava - mesto,30000,500,60,C
3536,60,8899,Nymburk,30000,2500,12,A
496,57,8547,Strakonice,30000,500,60,C
3375,65,9675,Chomutov,30000,2500,12,A
6014,21,12541,Praha,30000,625,48,C
4617,43,10177,Karvina,30000,625,48,D
661,42,9272,Ceska Lipa,30000,1250,24,C
5090,51,9317,Teplice,30000,500,60,C
4286,36,8980,Beroun,30000,2500,12,A
1668,58,8819,Prerov,30000,500,60,C
2083,48,9104,Tabor,30000,833,36,C
3887,27,8444,Kromeriz,30000,500,60,C
3093,43,8110,Bruntal,30000,625,48,D
6122,61,8441,Prostejov,30000,833,36,C
